,TA1488_TA23764,TA1489_TA26611,TA44_TA2764,TA2804_TA26886,TA2729_TA26623,TA11273_P_1,TA11273_P_2,TA11273_P_3,TA11273_P_4,TA11273_P_5,TA11273_P_6,TA11273_P_7,TA11273_P_8,TA11274_P_1,TA11274_P_2,TA11274_P_3,TA11274_P_4,TA2610_P_1,TA2610_P_2,TA2610_P_3,TA2610_P_4,TA2610_P_5,TA2610_P_8
TA1488_TA23764,1.000,0.846,0.797,0.257,0.227,0.262,0.264,0.268,0.263,0.267,0.262,0.268,0.253,0.227,0.229,0.229,0.226,0.243,0.251,0.248,0.242,0.236,0.245
TA1489_TA26611,0.846,1.000,0.808,0.220,0.197,0.287,0.282,0.290,0.282,0.289,0.282,0.291,0.276,0.261,0.261,0.261,0.258,0.267,0.273,0.271,0.264,0.261,0.270
TA44_TA2764,0.797,0.808,1.000,0.255,0.233,0.320,0.314,0.324,0.313,0.322,0.311,0.324,0.310,0.283,0.286,0.286,0.284,0.307,0.314,0.312,0.306,0.301,0.310
TA2804_TA26886,0.257,0.220,0.255,1.000,0.889,0.772,0.792,0.775,0.794,0.774,0.793,0.773,0.791,0.823,0.817,0.817,0.819,0.786,0.781,0.781,0.777,0.781,0.784
TA2729_TA26623,0.227,0.197,0.233,0.889,1.000,0.753,0.762,0.745,0.761,0.759,0.768,0.761,0.763,0.779,0.774,0.773,0.776,0.751,0.746,0.746,0.751,0.756,0.746
TA11273_P_1,0.262,0.287,0.320,0.772,0.753,1.000,0.992,0.993,0.993,0.994,0.993,0.995,0.994,0.993,0.993,0.994,0.993,0.993,0.993,0.993,0.992,0.993,0.992
TA11273_P_2,0.264,0.282,0.314,0.792,0.762,0.992,1.000,0.995,0.996,0.996,0.996,0.996,0.996,0.995,0.996,0.996,0.996,0.995,0.994,0.994,0.994,0.994,0.994
TA11273_P_3,0.268,0.290,0.324,0.775,0.745,0.993,0.995,1.000,0.995,0.996,0.995,0.996,0.996,0.995,0.995,0.996,0.995,0.996,0.995,0.995,0.995,0.995,0.995
TA11273_P_4,0.263,0.282,0.313,0.794,0.761,0.993,0.996,0.995,1.000,0.997,0.996,0.997,0.997,0.996,0.997,0.997,0.997,0.996,0.995,0.995,0.995,0.995,0.995
TA11273_P_5,0.267,0.289,0.322,0.774,0.759,0.994,0.996,0.996,0.997,1.000,0.997,0.998,0.997,0.996,0.996,0.997,0.996,0.996,0.995,0.995,0.995,0.995,0.995
TA11273_P_6,0.262,0.282,0.311,0.793,0.768,0.993,0.996,0.995,0.996,0.997,1.000,0.997,0.996,0.996,0.996,0.996,0.996,0.995,0.995,0.995,0.994,0.995,0.994
TA11273_P_7,0.268,0.291,0.324,0.773,0.761,0.995,0.996,0.996,0.997,0.998,0.997,1.000,0.997,0.996,0.997,0.997,0.997,0.996,0.995,0.995,0.995,0.995,0.995
TA11273_P_8,0.253,0.276,0.310,0.791,0.763,0.994,0.996,0.996,0.997,0.997,0.996,0.997,1.000,0.995,0.996,0.996,0.996,0.996,0.996,0.995,0.995,0.995,0.995
TA11274_P_1,0.227,0.261,0.283,0.823,0.779,0.993,0.995,0.995,0.996,0.996,0.996,0.996,0.995,1.000,0.998,0.998,0.998,0.995,0.995,0.995,0.994,0.995,0.995
TA11274_P_2,0.229,0.261,0.286,0.817,0.774,0.993,0.996,0.995,0.997,0.996,0.996,0.997,0.996,0.998,1.000,0.998,0.998,0.996,0.996,0.996,0.995,0.996,0.996
TA11274_P_3,0.229,0.261,0.286,0.817,0.773,0.994,0.996,0.996,0.997,0.997,0.996,0.997,0.996,0.998,0.998,1.000,0.998,0.996,0.996,0.996,0.995,0.996,0.996
TA11274_P_4,0.226,0.258,0.284,0.819,0.776,0.993,0.996,0.995,0.997,0.996,0.996,0.997,0.996,0.998,0.998,0.998,1.000,0.996,0.996,0.996,0.995,0.996,0.996
TA2610_P_1,0.243,0.267,0.307,0.786,0.751,0.993,0.995,0.996,0.996,0.996,0.995,0.996,0.996,0.995,0.996,0.996,0.996,1.000,0.998,0.997,0.997,0.997,0.998
TA2610_P_2,0.251,0.273,0.314,0.781,0.746,0.993,0.994,0.995,0.995,0.995,0.995,0.995,0.996,0.995,0.996,0.996,0.996,0.998,1.000,0.997,0.997,0.997,0.997
TA2610_P_3,0.248,0.271,0.312,0.781,0.746,0.993,0.994,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.996,0.996,0.996,0.997,0.997,1.000,0.996,0.997,0.997
TA2610_P_4,0.242,0.264,0.306,0.777,0.751,0.992,0.994,0.995,0.995,0.995,0.994,0.995,0.995,0.994,0.995,0.995,0.995,0.997,0.997,0.996,1.000,0.996,0.996
TA2610_P_5,0.236,0.261,0.301,0.781,0.756,0.993,0.994,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.996,0.996,0.996,0.997,0.997,0.997,0.996,1.000,0.997
TA2610_P_8,0.245,0.270,0.310,0.784,0.746,0.992,0.994,0.995,0.995,0.995,0.994,0.995,0.995,0.995,0.996,0.996,0.996,0.998,0.997,0.997,0.996,0.997,1.000